4-20mA,,ESET 0181 Terms,,,,,,,
61131-3 PLC Programming,,,,,Proposed ICS KU,,,,
Acceptable use policy (AUP),Security+ Glossary,,,,,,,,
Basic Cyber Operations (BCO),,,,,,,NCAE KU,,
Basic Input Output System (BIOS),Security+ Glossary,ESET 0181 Terms,,,,,,,
Basic Networking (BNW),,,,,,,NCAE KU,,
Basic Scripting and Programming (BSP),,,,,,,NCAE KU,,
Battery,,ESET 0181 Terms,,,,,,,
Bcrypt,Security+ Glossary,,,,,,,,
Biomass Power Plants,,,Intro to Energy Systems,,,,,,
Bitsquatting,,,,,,,,Similar to Typosquatting,
Black box test,Security+ Glossary,,,,,,,,
Block cipher,Security+ Glossary,,,,,,,,
Boilers,,,Intro to Energy Systems,,,,,,
Bots,Security+ Glossary,,,,,,,,
Boyle's Law,,,Intro to Energy Systems,,,,,,
Brayton Cycle,,,Intro to Energy Systems,,,,,,
Breakers,,,,,Proposed ICS KU,,,,
Bring Your Own Device (BYOD),Security+ Glossary,,,,,,,,
Brute force,Security+ Glossary,,,,,,,,
Buffer overflow,Security+ Glossary,,,,,,,,
Building Automation and Control Networks (BACnet),,ESET 0181 Terms,,,,,,,
"Business Continuity, Disaster Recovery, and Incident Management",,,,CSEC17 KU,,,,,
Business Impact Analysis (BIA),Security+ Glossary,,,,,,,,
Calibration,,,,,Proposed ICS KU,,,,
Captive portal,Security+ Glossary,,,,,,,,
Cascade Control,,,,,,,,,
Cascading Style Sheets (CSS),,ESET 0181 Terms,,,,,,,
Central Processing Unit (CPU),,ESET 0181 Terms,,,,,,,
Certificate,Security+ Glossary,,,,,,,,
Certificate Authority (CA),Security+ Glossary,,,,,,,,
Certificate chaining,Security+ Glossary,,,,,,,,
Certificate Revocation List (CRL) ,Security+ Glossary,,,,,,,,
Certificate Signing Request (CSR) ,Security+ Glossary,,,,,,,,
Chain of command,,ESET 0181 Terms,,,,,,,
Chain of custody,Security+ Glossary,,,,,,,,
Change management,Security+ Glossary,,,,,,,,
Charles' Law,,,Intro to Energy Systems,,,,,,
Chief Information Officer (CIO),,ESET 0181 Terms,,,,,,,
Chief Information Security Officer (CISO),,ESET 0181 Terms,,,,,,,
Chief Operating Officer (COO),,ESET 0181 Terms,,,,,,,
Choose Your Own Device (CYOD) ,Security+ Glossary,,,,,,,,
CIA Triad,Security+ Glossary,,,,,,,,
Cipher Block Chaining (CBC),Security+ Glossary,,,,,,,,
Ciphertext,Security+ Glossary,,,,,,,,
Clean desk policy,Security+ Glossary,,,,,,,,
Cloud,,ESET 0181 Terms,,,,,,,
Cloud Centric Architecture,,ESET 0181 Terms,,,,,,,
Cloud Computing (CCO),,,,,,,NCAE KU,,
Cloud deployment models,Security+ Glossary,,,,,,,,
Coal Power Plant,,,Intro to Energy Systems,,,,,,
Cold site,Security+ Glossary,,,,,,,,
Combined Cycle Power Plant,,,Intro to Energy Systems,,,,,,
Combined Gas Laws,,,Intro to Energy Systems,,,,,,
Command injection,,ESET 0181 Terms,,,,,,,
Common Industrial Protocol (CIP),,ESET 0181 Terms,,,,,,,
Communications Technician,,ESET 0181 Terms,,,,,,,
Compensating controls,Security+ Glossary,,,,,,,,
Compliance Officer,,ESET 0181 Terms,,,,,,,
Component Design,,,,CSEC17 KU,,,,,
Component Fabrication,,,,CSEC17 KU,,,,,
Component Procurement,,,,CSEC17 KU,,,,,
Component Reverse Engineering,,,,CSEC17 KU,,,,,
Component Testing,,,,CSEC17 KU,,,,,
Comunications Media,,ESET 0181 Terms,,,,,,,
Conditional Loop,,ESET 0181 Terms,,,,,,,
Conduction,,,Intro to Energy Systems,,,,,,
Conduits,,,Intro to Energy Systems,,,,,,
Confidentiality,Security+ Glossary,,,,,,,,
Configuration compliance scanner,Security+ Glossary,,,,,,,,
Containerization,Security+ Glossary,,,,,,,,
Continuity of operations planning (COOP),Security+ Glossary,,,,,,,,
Contractor,,ESET 0181 Terms,,,,,,,
Control,,ESET 0181 Terms,,,,,,,
Control diversity,Security+ Glossary,,,,,,,,
Control Engineer,,ESET 0181 Terms,,,,,,,
Control Loop,,,Intro to Energy Systems,,,,,,
Control Paradigms,,,,,Proposed ICS KU,,,,
Control Room,,ESET 0181 Terms,,,,,,,
Control systems vendor,,ESET 0181 Terms,,,,,,,
Controller Area Network (CAN),,ESET 0181 Terms,,,,,,,
Convection,,,Intro to Energy Systems,,,,,,
Convective Heat Transfer Coefficient,,,Intro to Energy Systems,,,,,,
"Corporate Owned, Personally Enabled (COPE)",Security+ Glossary,,,,,,,,
Corrective controls,Security+ Glossary,,,,,,,,
Critical Flow,,,Intro to Energy Systems,,,,,,
Critical infrastructure protection,,ESET 0181 Terms,,,,,,,
Cryptanalysis,,,,CSEC17 KU,,,,,
Crypto malware,Security+ Glossary,,,,,,,,
Cryptography,,,,CSEC17 KU,,,,,
Cyber Crime (CCR),,,,,,,NCAE KU,,
Cyber Ethics,,,,CSEC17 KU,,,,,
Cyber incident response team (CIRT),Security+ Glossary,,,,,,,,
Cyber Law,,,,CSEC17 KU,,,,,
Cyber Physical Systems (CPS),,ESET 0181 Terms,,,,,,,
Cyber Policy,,,,CSEC17 KU,,,,,
Cyber Threats (CTH),,,,,,,NCAE KU,,
Cybercrime,,,,CSEC17 KU,,,,,
Cybersecurity Ethics (CSE),,,,,,,NCAE KU,,
Cybersecurity Foundations (CSF),,,,,,,NCAE KU,,
Cybersecurity Planning,,,,CSEC17 KU,,,,,
Cybersecurity Planning and Management (CPM),,,,,,,NCAE KU,,
Cybersecurity Principles (CSP),,,,,,,NCAE KU,,
Cybersquatting,,,,,,,,,
Dashboard User Interface,,ESET 0181 Terms,,,,,,,
Data Administration (DBA),,,,,,,NCAE KU,,
Data Center,,ESET 0181 Terms,,,,,,,
Data Confidentiality,,,,,,ISA Cybersecurity Tags,,,
Data exfiltration,Security+ Glossary,,,,,,,,
Data Flow,,,,,,ISA Cybersecurity Tags,,,
Data Historians,,,,,Proposed ICS KU,,,,
Data Integrity and Authentication,,,,CSEC17 KU,,,,,
Data Loss Prevention (DLP) ,Security+ Glossary,,,,,,,,
Data Privacy,,,,CSEC17 KU,,,,,
Data retention policy,Security+ Glossary,,,,,,,,
Data Storage and Recovery,,ESET 0181 Terms,,,,,,,
Data Structures (DST),,,,,,,NCAE KU,,
Data Type,,ESET 0181 Terms,,,,,,,
Database Administrator (DBA),,ESET 0181 Terms,,,,,,,
Database Management Systems (DMS),,,,,,,NCAE KU,,
Databases (DAT),,,,,,,NCAE KU,,
Defense in depth,Security+ Glossary,,,,,,,,
Demilitarized Zone (DMZ) ,Security+ Glossary,,,,,,,,
Denial of Service (DoS) ,Security+ Glossary,,,,,,,,
Design Engineer,,ESET 0181 Terms,,,,,,,
Detective controls,Security+ Glossary,,,,,,,,
Deterrent controls,Security+ Glossary,,,,,,,,
Device Forensics (DVF),,,,,,,NCAE KU,,
Dictionary attack,Security+ Glossary,,,,,,,,
Digital Communications (DCO),,,,,,,NCAE KU,,
Digital Forensics (DFS),,,,CSEC17 KU,,,NCAE KU,,
Digital signature,Security+ Glossary,,,,,,,,
Disablement policy,Security+ Glossary,,,,,,,,
Disaster Recovery Plan,,ESET 0181 Terms,,,,ISA Cybersecurity Tags,,,
Discretionary Access Control (DAC),Security+ Glossary,,,,,,,,
Distributed Denial of Service (DDoS) ,Security+ Glossary,,,,,,,,
Distributed Network Protocol 3 (DNP3),,ESET 0181 Terms,,,,,,,
Distributed Systems Architecture,,,,CSEC17 KU,,,,,
DNS poisoning,Security+ Glossary,,,,,,,,
Docker,,ESET 0181 Terms,,,,,,,
Domain Hijacking,Security+ Glossary,,,,,,,,
Domain Name System (DNS),Security+ Glossary,ESET 0181 Terms,,,,,,,
Downgrade attack,Security+ Glossary,,,,,,,,
Dumpster diving,Security+ Glossary,,,,,,,,
Dynamic Host Configuration Protocol (DHCP),,ESET 0181 Terms,,,,,,,
Electric Energy,,,Intro to Energy Systems,,,,,,
Electrical Circuits,,,,,Proposed ICS KU,,,,
Electromagnetic interference,Security+ Glossary,,,,,,,,
Electromagnetic Pulse (EMP),Security+ Glossary,,,,,,,,
Embedded Loop,,ESET 0181 Terms,,,,,,,
Embedded Systems (EBS),Security+ Glossary,,,,,,NCAE KU,,
Emerging Technologies,,,,,,ISA Cybersecurity Tags,,,
Encryption,Security+ Glossary,ESET 0181 Terms,,,,ISA Cybersecurity Tags,,,
Endpoint Security,,ESET 0181 Terms,,,,,,,
Energy Management Systems (EMS),,ESET 0181 Terms,,,,,,,
Engineering Department,,ESET 0181 Terms,,,,,,,
Engineering firm,,ESET 0181 Terms,,,,,,,
Engineering Laptops and Workstations,,,,,Proposed ICS KU,,,,
Engineering Workstation,,ESET 0181 Terms,,,,,,,
Error handling,Security+ Glossary,,,,,,,,
EtherNet/IP ,,ESET 0181 Terms,,,Proposed ICS KU,,,,
Example System Architectures,,,,CSEC17 KU,,,,,
Exploitation frameworks,Security+ Glossary,,,,,,,,
Extensible Authentication Protocol (EAP) ,Security+ Glossary,,,,,,,,
Extranet,Security+ Glossary,,,,,,,,
Facilities Management Personnel,,ESET 0181 Terms,,,,,,,
False negative,Security+ Glossary,,,,,,,,
False positive,Security+ Glossary,,,,,,,,
Fan,,ESET 0181 Terms,,,,,,,
Faraday cage,Security+ Glossary,,,,,,,,
Fault tolerance,Security+ Glossary,,,,,,,,
Feedback,,,,,,,,Instrumentation Terms,
Feedforward,,,,,,,,Instrumentation Terms,
Fibre Optic,,,,,,,,,Networking Fundamentals
Field Engineer,,ESET 0181 Terms,,,,,,,
Fieldbus,,,,,Proposed ICS KU,,,,
Firewall,Security+ Glossary,ESET 0181 Terms,,,,ISA Cybersecurity Tags,,,
Flow Based Programming (FBP),,ESET 0181 Terms,,,,,,,
Flow Rate,,,Intro to Energy Systems,,,,,,
For Loop,,ESET 0181 Terms,,,,,,,
Forensic Accounting (FAC),,,,,,,NCAE KU,,
Formal Methods (FMD),,,,,,,NCAE KU,,
Foundation Fieldbus ,,ESET 0181 Terms,,,,,,,
Fourier Conduction Law,,,Intro to Energy Systems,,,,,,
Framework,Security+ Glossary,,,,,,,,
Fraud Prevention and Management (FPM),,,,,,,NCAE KU,,
Full backup,Security+ Glossary,,,,,,,,
Full Disk Encryption (FDE),Security+ Glossary,,,,,,,,
Function,,ESET 0181 Terms,,,,,,,
Gas turbines,,,Intro to Energy Systems,CSEC17 KU,,,,,
Gay Lussac's Law,,,Intro to Energy Systems,,,,,,
General Cyber-hygiene,,,,,,ISA Cybersecurity Tags,,,
Generators,,,Intro to Energy Systems,,,,,,
Geofencing,Security+ Glossary,,,,,,,,
Hacktivist,Security+ Glossary,,,,,,,,
Hardware Architecture,,,,CSEC17 KU,,,,,
Hardware Reverse Engineering (HRE),,,,,,,NCAE KU,,
Hardware root of trust,Security+ Glossary,,,,,,,,
Hardware/Firmware Security (HFS),,,,,,,NCAE KU,,
Hash,Security+ Glossary,,,,,,,,
Head,,,Intro to Energy Systems,,,,,,
Head Loss,,,Intro to Energy Systems,,,,,,
Heat Exchangers,,,Intro to Energy Systems,,,,,,
Heat Sink,,,Intro to Energy Systems,,,,,,
Heat Transfer,,,Intro to Energy Systems,,,,,,
"Heating, Ventilation, and Air Conditioning (HVAC)",Security+ Glossary,,,,,,,,
Heuristic/behavioral detection,Security+ Glossary,,,,,,,,
High availability,Security+ Glossary,,,,,,,,
Highway Addressable Remote Transducer (HART),,ESET 0181 Terms,,,Proposed ICS KU,,,,
Historian,,ESET 0181 Terms,,,,,,,
Home automation,Security+ Glossary,,,,,,,,
Honeynet,Security+ Glossary,,,,,,,,
Honeypot,Security+ Glossary,,,,,,,,
Host based Intrusion Detection System (HIDS) ,Security+ Glossary,,,,,,,,
Host Forensics (HOF),,,,,,,NCAE KU,,
Hot and cold aisles,Security+ Glossary,,,,,,,,
Hot site,Security+ Glossary,,,,,,,,
HTML Tags,,ESET 0181 Terms,,,,,,,
Human Machine Interface (HMI),,ESET 0181 Terms,,,Proposed ICS KU,,,,
Hydroelectric Power Plant ,,,Intro to Energy Systems,,,,,,
Hyper Text Markup Language (HTML),,ESET 0181 Terms,,,,,,,
Hyper Text Transfer Protocol (HTTP),,ESET 0181 Terms,,,,,,,
Hypertext Transfer Protocol Secure (HTTPS) ,Security+ Glossary,,,,,,,,
ICS Cyber Tools,,,,,,ISA Cybersecurity Tags,,,
Identification,Security+ Glossary,,,,,,,,
Identity Management,,,,CSEC17 KU,,ISA Cybersecurity Tags,,,
Impact,Security+ Glossary,,,,,,,,
Implicit deny,Security+ Glossary,,,,,,,,
Incident response,Security+ Glossary,,,,,,,,
Incident response and monitoring,,ESET 0181 Terms,,,,,,,
Incident Response Plan (lRP),Security+ Glossary,,,,,,,,
Incremental backup,Security+ Glossary,,,,,,,,
Independent/Directed Study/Research (IDR),,,,,,,NCAE KU,,
Industrial Control System (ICS) security,,ESET 0181 Terms,,,,,,,
Industrial Control Systems (ICS),Security+ Glossary,ESET 0181 Terms,,,,,NCAE KU,,
Industrial Internet of Things (IIoT),,ESET 0181 Terms,,,,,,,
Industrial Protocols,,ESET 0181 Terms,,,,,,,
Industrial Sectors,,,,,Proposed ICS KU,,,,
Information Assurance,,ESET 0181 Terms,,,,,,,
Information Assurance Architectures (IAA),,,,,,,NCAE KU,,
Information Assurance Compliance (IAC),,,,,,,NCAE KU,,
Information Assurance Standards (IAS),,,,,,,NCAE KU,,
Information Security Analyst,,ESET 0181 Terms,,,,,,,
Information Storage Security,,,,CSEC17 KU,,,,,
Infrastructure as a Service (IaaS),Security+ Glossary,,,,,,,,
Inline,Security+ Glossary,,,,,,,,
Input validation,Security+ Glossary,,,,,,,,
Input/Output periphery,,ESET 0181 Terms,,,,,,,
Insider threat,Security+ Glossary,,,,,,,,
Install Software,,ESET 0181 Terms,,,,,,,
Instrumentation ,,,Intro to Energy Systems,,,,,,
Instrumentation and Control Technician,,ESET 0181 Terms,,,,,,,
Integrated Development Equipment (IDE),,ESET 0181 Terms,,,,,,,
Integrity,Security+ Glossary,,,,,,,,
Intercontrol Center Communications Protocol (ICCP),,ESET 0181 Terms,,,,,,,
Internet,Security+ Glossary,ESET 0181 Terms,,,,,,,
Internet of Things (IoT),Security+ Glossary,ESET 0181 Terms,,,,,,,
Internet Protocol Address (IP),,ESET 0181 Terms,,,,,,,
Intranet,Security+ Glossary,,,,,,,,
Introduction to Theory of Computation (ITC),,,,,,,NCAE KU,,
Intrusion Detection System (IDS),,ESET 0181 Terms,,,,ISA Cybersecurity Tags,,,
Intrusion Detection/Prevention Systems (IDS),,,,,,,NCAE KU,,
Intrusion Prevention System (IPS),,ESET 0181 Terms,,,,,,,
ISA Perdue Model,,,,,,ISA Cybersecurity Tags,,,
IT Architecture,,,,,,ISA Cybersecurity Tags,,,
IT Systems Components (ISC),,,,,,,NCAE KU,,
JavaScript,,ESET 0181 Terms,,,,,,,
JavaScript Object Notation (JSON),,ESET 0181 Terms,,,,,,,
Job rotation,Security+ Glossary,,,,,,,,
Kerberos,Security+ Glossary,,,,,,,,
Kernel,Security+ Glossary,,,,,,,,
Key Distribution Center (KDC) ,Security+ Glossary,,,,,,,,
Key stretching,Security+ Glossary,,,,,,,,
Keylogger,Security+ Glossary,,,,,,,,
Keywords,,ESET 0181 Terms,,,,,,,
Kill Chain,,,,,,,,,
Kirchhoff's law of thermal radiation ,,,Intro to Energy Systems,,,,,,
Laminar Flow,,,Intro to Energy Systems,,,,,,
Latency,,ESET 0181 Terms,,,,,,,
Least functionality,Security+ Glossary,,,,,,,,
Least privilege,Security+ Glossary,,,,,,,,
Library,,ESET 0181 Terms,,,,,,,
Licensed spectrum,,ESET 0181 Terms,,,,,,,
Life-Cycle Security (LCS),,,,,,,NCAE KU,,
Linux,,ESET 0181 Terms,,,,,,,
Load balancer,Security+ Glossary,,,,,,,,
Logging,,ESET 0181 Terms,,,,,,,
Logic bomb,Security+ Glossary,,,,,,,,
Loop prevention,Security+ Glossary,,,,,,,,
Low Level Programming (LLP),,,,,,,NCAE KU,,
Malware,Security+ Glossary,,,,,,,,
Man In The Middle (MITM),Security+ Glossary,ESET 0181 Terms,,,,,,,
Managed Switch,,ESET 0181 Terms,,,,,,,
Mantrap,Security+ Glossary,,,,,,,,
Mean Time Between Failures (MTBF) ,Security+ Glossary,,,,,,,,
Mean Time To Recover (MTTR),Security+ Glossary,,,,,,,,
Measurement,,,Intro to Energy Systems,,,,,,
Media Access Control (MAC),Security+ Glossary,,,,,,,,
Media Forensics (MEF),,,,,,,NCAE KU,,
Memorandum of Agreement (MOA),Security+ Glossary,,,,,,,,
Memorandum of Understanding (MOU),Security+ Glossary,,,,,,,,
Memory,,ESET 0181 Terms,,,,,,,
Metasploit,,ESET 0181 Terms,,,,,,,
Method,,ESET 0181 Terms,,,,,,,
Mobile Technologies (MOT),,,,,,,NCAE KU,,
Modbus,,ESET 0181 Terms,,,Proposed ICS KU,,,,
Motherboard,,ESET 0181 Terms,,,,,,,
Motivating Professionals,,,,,,ISA Cybersecurity Tags,,,
Motor Controls,,,Intro to Energy Systems,,,,,,
Motor Starters/Relays,,,,,Proposed ICS KU,,,,
Motors,,,Intro to Energy Systems,,,,,,
Multifactor authentication,Security+ Glossary,,,,,,,,
Multimeters,,,,,Proposed ICS KU,,,,
National Institute of Standards and Technology (NIST) Security Standards,,ESET 0181 Terms,,,,,,,
Netstat,Security+ Glossary,,,,,,,,
Network Access Control (NAC),Security+ Glossary,,,,,,,,
Network Architecture,,,,CSEC17 KU,,,,,
Network based Intrusion Detection System (NIDS),Security+ Glossary,,,,,,,,
Network based Intrusion Prevention System (NIPS),Security+ Glossary,,,,,,,,
Network Connectivity,,ESET 0181 Terms,,,,,,,
Network Defense (NDF),,,,CSEC17 KU,,,NCAE KU,,
Network Engineer,,ESET 0181 Terms,,,,,,,
Network Forensics (NWF),,,,,,,NCAE KU,,
Network Implementations,,,,CSEC17 KU,,,,,
Network mapping,Security+ Glossary,,,,,,,,
Network Monitoring,,,,,,ISA Cybersecurity Tags,,,
Network scanner,Security+ Glossary,,,,,,,,
Network Security Administration (NSA),,,,,,,NCAE KU,,
Network security architecture,,ESET 0181 Terms,,,,,,,
Network Security Audits,,ESET 0181 Terms,,,,,,,
Network segmentation,,ESET 0181 Terms,,,,,,,
Network segregation,,ESET 0181 Terms,,,,,,,
Network Services,,,,CSEC17 KU,,,,,
Network Technician,,ESET 0181 Terms,,,,,,,
Network Technology and Protocols (NTP),,,,,,,NCAE KU,,
Network Topology,,ESET 0181 Terms,,,,,,,
Networking and Infrastructure Design,,ESET 0181 Terms,,,,,,,
News Sources,,,,,,ISA Cybersecurity Tags,,,
Newton's Law of Cooling,,,,,,,,Physics,
Next Generation Firewalls,,ESET 0181 Terms,,,,,,,
Non-Disclosure Agreement (NDA),Security+ Glossary,,,,,,,,
Nuclear Power Plant,,,Intro to Energy Systems,,,,,,
Obfuscation,Security+ Glossary,,,,,,,,
Online Certificate Status Protocol (OCSP),Security+ Glossary,,,,,,,,
OPC Classc,,ESET 0181 Terms,,,,,,,
OPC Unified Architecture (OPC UA),,ESET 0181 Terms,,,,,,,
Open Systems Interconnection (OSI) 7 Layer Model,,ESET 0181 Terms,,,,,,,
Open-source intelligence,Security+ Glossary,,,,,,,,
Operating System (OS) Navigation,,ESET 0181 Terms,,,,,,,
Operating Systems Administration (OSA),,,,,,,NCAE KU,,
Operating Systems Concepts (OSC),,,,,,,NCAE KU,,
Operating Systems Hardening (OSH),,,,,,,NCAE KU,,
Operating Systems Theory (OST),,,,,,,NCAE KU,,
Operational Technology (OT),,ESET 0181 Terms,,,,,,,
Operations Department,,ESET 0181 Terms,,,,,,,
Order of volatility,Security+ Glossary,,,,,,,,
OT Architecture,,,,,,ISA Cybersecurity Tags,,,
Other Industrial Communications Protocols,,,,,Proposed ICS KU,,,,
Otto Cycle,,,Intro to Energy Systems,,,,,,
Out of band,Security+ Glossary,,,,,,,,
Outsourcing,,,,,,ISA Cybersecurity Tags,,,
Packet,,ESET 0181 Terms,,,,,,,
Packet capture,,ESET 0181 Terms,,,,,,,
Panel Human Machine Interface (HMI),,ESET 0181 Terms,,,,,,,
Passive reconnaissance,Security+ Glossary,,,,,,,,
Password Cracker,Security+ Glossary,,,,,,,,
Passwords,,ESET 0181 Terms,,,,,,,
Patch Management,Security+ Glossary,ESET 0181 Terms,,,,,,,
Patent,,,,,,,,Cyber Law Related,
Patent Troll,,,,,,,,Cyber Law Related,
Penetration Testing (PTT),Security+ Glossary,,,,,ISA Cybersecurity Tags,NCAE KU,,
Permission auditing review,Security+ Glossary,,,,,,,,
Personal Compliance with Cybersecurity Rules/Policy/Ethical Norms,,,,CSEC17 KU,,,,,
Personal Data Privacy and Security,,,,CSEC17 KU,,,,,
Personal Protective Equipment (PPE),,,,,Proposed ICS KU,,,,
Personnel Security,,,,CSEC17 KU,,,,,
Petroleum Fueled Power Plant,,,,,,,,,
Phishing,,ESET 0181 Terms,,,,,,,
Photovoltaic ,,,Intro to Energy Systems,,,,,,
PHP Hypertext Preprocessor (PHP),,ESET 0181 Terms,,,,,,,
Physical Interfaces and Connectors,,,,CSEC17 KU,,,,,
Physical Media,,,,CSEC17 KU,,,,,
Physical Port,,ESET 0181 Terms,,,,,,,
Piping and Instrumentation Diagrams (PI&D),,,,,Proposed ICS KU,,,,
Pivot,Security+ Glossary,,,,,,,,
Plaintext,Security+ Glossary,,,,,,,,
Plant Lifecycle,,,,,Proposed ICS KU,,,,
Plant Manager,,ESET 0181 Terms,,,,,,,
Platform as a Service (PaaS),Security+ Glossary,,,,,,,,
Policy and Procedure Writing,,ESET 0181 Terms,,,,ISA Cybersecurity Tags,,,
"Policy, Legal, Ethics, and Compliance (PLE)",,,,,,,NCAE KU,,
Port Security,,ESET 0181 Terms,,,,,,,
Power Distribution,,ESET 0181 Terms,,,,,,,
Power Supply,,ESET 0181 Terms,,,,,,,
Pre-Shared Key (PSK),Security+ Glossary,,,,,,,,
Preventive controls,Security+ Glossary,,,,,,,,
Privacy (PRI),,,,CSEC17 KU,,,NCAE KU,,
Private key,Security+ Glossary,,,,,,,,
Privilege escalation,Security+ Glossary,,,,,,,,
Privileged account,Security+ Glossary,,,,,,,,
Process Change,,ESET 0181 Terms,,,,,,,
Process Controls,,ESET 0181 Terms,,,,,,,
Process Engineer,,ESET 0181 Terms,,,,,,,
Process Field Bus (Profibus),,ESET 0181 Terms,,,,,,,
Process Types,,,,,Proposed ICS KU,,,,
Process Variable,,ESET 0181 Terms,,,,,,,
Process Variables,,,,,Proposed ICS KU,,,,
Product Engineer,,ESET 0181 Terms,,,,,,,
Professional Roles and Responsibilities,,,,,Proposed ICS KU,,,,
Programmable Control Devices,,,,,Proposed ICS KU,,,,
Programmable Logic Controller (PLC),,ESET 0181 Terms,,,,,,,
Programming,,ESET 0181 Terms,,,,,,,
Programming Methods,,,,,Proposed ICS KU,,,,
Proprietary data,Security+ Glossary,,,,,,,,
Proxy,Security+ Glossary,,,,,,,,
Public Key Infrastructure (PKI),Security+ Glossary,,,,,,,,
Pumps ,,,Intro to Energy Systems,,,,,,
Purdue Enterprise Reference Architecture (PERA),,ESET 0181 Terms,,,,,,,
Qualitative risk assessment,Security+ Glossary,,,,,,,,
Quality Assurance Functional Testing (QAT),,,,,,,NCAE KU,,
Quantitative risk assessment,Security+ Glossary,,,,,,,,
Radiant,,,Intro to Energy Systems,,,,,,
Radio Frequency Principles (RFP),,,,,,,NCAE KU,,
RADIUS,,ESET 0181 Terms,,,,,,,
Rainbow table,Security+ Glossary,,,,,,,,
Rankine Cycle,,,Intro to Energy Systems,,,,,,
Ransomware,Security+ Glossary,,,,,,,,
Raspberry Pi,,ESET 0181 Terms,,,,,,,
Raspbian,,ESET 0181 Terms,,,,,,,
Real-Time Operating System (RTOS),Security+ Glossary,,,,,,,,
Recovery Point Objective (RPO),Security+ Glossary,,,,,,,,
Recovery site,Security+ Glossary,,,,,,,,
Recovery Time Objective (RTO),Security+ Glossary,,,,,,,,
Redundancy,Security+ Glossary,,,,,,,,
Redundant Array of Inexpensive Disks (RAlD),Security+ Glossary,,,,,,,,
Reference Architectures,,,,,Proposed ICS KU,,,,
Remote Access Trojan (RAT),Security+ Glossary,,,,,,,,
Replay attack,Security+ Glossary,,,,,,,,
Resource Availability,,,,,,ISA Cybersecurity Tags,,,
Resource exhaustion,Security+ Glossary,,,,,,,,
Reverse engineering,,,,,,,,,
Risk,Security+ Glossary,,,,,,,,
Risk Assessment,,ESET 0181 Terms,,,,,,,
Risk Management,,,,CSEC17 KU,,ISA Cybersecurity Tags,,,
Risk mitigation,,,,,,,,Risk Management Class,
Risk register,,,,,,,,Risk Management Class,
Risk Tolerance,,,,,,,,Risk Management Class,
Rootkit,Security+ Glossary,,,,,,,,
Round robin,Security+ Glossary,,,,,,,,
Router,,ESET 0181 Terms,,,,,,,
